Data,Seed,TestProportion,CandidateProportion,SelectorType,ModelType,UniqueErrorsInput,n_estimators,regularization,RashomonThresholdType,RashomonThreshold,Type,Partition,Time,Memory,JobName,Output
Iris,12,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,12IS_UA0.025,Iris/TreeFarms/Raw/12IS_UA0.025.pkl
Iris,12,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,12IS_DA0.025,Iris/TreeFarms/Raw/12IS_DA0.025.pkl
Iris,13,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,13IS_RFA0.0,Iris/RandomForestClassification/Raw/13IS_RFA0.0.pkl
Iris,13,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,13IS_PLA0.0,Iris/RandomForestClassification/Raw/13IS_PLA0.0.pkl
Iris,13,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,13IS_DA0.025,Iris/TreeFarms/Raw/13IS_DA0.025.pkl
Iris,13,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,13IS_UA0.025,Iris/TreeFarms/Raw/13IS_UA0.025.pkl
Iris,14,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,14IS_PLA0.0,Iris/RandomForestClassification/Raw/14IS_PLA0.0.pkl
Iris,14,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,14IS_UA0.025,Iris/TreeFarms/Raw/14IS_UA0.025.pkl
Iris,14,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,14IS_DA0.025,Iris/TreeFarms/Raw/14IS_DA0.025.pkl
Iris,14,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,14IS_RFA0.0,Iris/RandomForestClassification/Raw/14IS_RFA0.0.pkl
Iris,15,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,15IS_UA0.025,Iris/TreeFarms/Raw/15IS_UA0.025.pkl
Iris,15,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,15IS_DA0.025,Iris/TreeFarms/Raw/15IS_DA0.025.pkl
Iris,15,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,15IS_RFA0.0,Iris/RandomForestClassification/Raw/15IS_RFA0.0.pkl
Iris,15,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,15IS_PLA0.0,Iris/RandomForestClassification/Raw/15IS_PLA0.0.pkl
Iris,16,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,16IS_UA0.025,Iris/TreeFarms/Raw/16IS_UA0.025.pkl
